Iteration,RMS_px,Parameters
120,7.86307548533304,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051119321 -47.7146842639  36.7963562309  48.286217827
 -42.3900366763]"
121,7.859617840712488,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051123947 -47.7146836075  36.7963565582  48.2862180592
 -42.3900369374]"
122,7.855798761655179,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051105726 -47.7146860043  36.7963551772  48.2862172722
 -42.3900358387]"
123,7.851054634711316,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9051071818 -47.7146906086  36.7963526648  48.2862157654
 -42.3900337883]"
124,7.84214552406339,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050985994 -47.714702334   36.7963463406  48.2862119187
 -42.3900286106]"
125,7.8381623367387165,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050933122 -47.7147096532  36.7963424886  48.2862095118
 -42.3900254293]"
126,7.833183256880859,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050890522 -47.7147155761  36.7963393989  48.2862075586
 -42.3900228731]"
127,7.82978695716079,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050862946 -47.7147194752  36.7963374364  48.2862062581
 -42.3900212391]"
128,7.827693597920094,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050847655 -47.7147216788  36.7963363754  48.2862055082
 -42.3900203535]"
129,7.824281851030968,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050831606 -47.7147240009  36.7963352841  48.2862046937
 -42.3900194583]"
130,7.819023041536846,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050800808 -47.7147283797  36.7963331635  48.2862031456
 -42.3900177537]"
131,7.814609107617468,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905076205  -47.7147338225  36.7963304718  48.2862012111
 -42.3900156185]"
132,7.810102822739879,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050750392 -47.7147354341  36.7963296673  48.2862006118
 -42.3900150095]"
133,7.803475570839807,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905072664  -47.7147387273  36.7963280425  48.2861993687
 -42.3900137918]"
134,7.797455340228276,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9050690176 -47.7147438795  36.7963255743  48.2861974456
 -42.3900118988]"
